timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1745478946338,468,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,460,0,1
1745478947843,358,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,358,0,0
1745478949343,375,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,375,0,0
1745478950839,361,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,361,0,0
1745478952340,374,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,373,0,0
1745478953843,404,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,404,0,0
1745478955343,380,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,379,0,0
1745478956843,378,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,378,0,0
1745478958344,416,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,416,0,0
1745478959843,376,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,376,0,0
1745478961344,358,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,358,0,0
1745478962844,365,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,365,0,0
1745478964339,386,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,386,0,0
1745478965844,384,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,384,0,0
1745478967343,369,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,369,0,0
1745478968845,357,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,357,0,0
1745478970342,379,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,379,0,0
1745478971843,387,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,387,0,0
1745478973343,371,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,371,0,0
1745478974843,404,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,404,0,0
1745478976343,382,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,382,0,0
1745478977844,381,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,381,0,0
1745478979344,374,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,374,0,0
1745478980845,381,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,380,0,0
1745478982344,377,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,377,0,0
1745478983843,400,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,399,0,0
1745478985346,389,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,388,0,0
1745478986845,372,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,372,0,0
1745478988344,382,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,382,0,0
1745478989846,357,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,356,0,0
1745478991346,400,HTTP Request,200,OK,Thread Group conf 3 1-1,text,true,,231,158,1,1,http://localhost:8080/?token=495352458&user=-2105144270&config=3,400,0,0
